level,kmedia_catalog,pattern,description,en.label,he.label,ru.label,es.label,ua.label
2,7938,kinha,,Envy,קנאה,Зависть,Envidia,Заздрість
2,7939,tzeaka,,Shout,צעקה,Крик,Grito,Крик
2,7940,erida-le-tzoreh-haliya,,Descent for the Sake of Ascent,ירידה לצורך עליה,Падение ради подъёма,Descenso para ascender,Падіння заради підйому
2,7941,egiya,,Exertion,יגיעה,Усилие,,Зусилля
2,7942,hitkalelut,,Mingling/Inclusion,התכללות,Взаимовключение,,Взаімовключеніе
2,7943,haor-hamchzir-lemutav,,The Reforming Light,המאור המחזיר למוטב,"Свет, возвращающий к Источнику",,"Світло, яке повертає до Джерела"
2,7944,emuna,,Faith,אמונה,Вера,Fe,Віра
2,7945,akarat-ara,,Recognition of evil,הכרת הרע,Осознание Зла,Conocimiento del mal,Усвідомлення Зла
2,7946,shivyon,,Equality/Equivalence,שוויון,Равенство,Igualdad/Equivalencia,Рівність
2,7947,iush,,Despair from his own forces,יאוש מכוחותיו עצמו,Отчаяние от собственных усилий,Desahuciado de sus propias fuerzas,Відчай від власних зусиль
2,7948,shiflut,,Lowliness,שפלות,Принижение себя,humillación,Приниження себе
2,7949,hergel-naasa-teva-sheni,,Habit Becomes Second Nature,הרגל נעשה טבע שני,Привычка становится второй натурой,El hábito se convierte en segunda naturaleza,Звичка стає другою натурою
2,7951,ein-od-milvado,,There is None Else Beside Him,אין עוד מלבדו,Нет никого кроме Него,No existe nadie más que Él,Немає нікого крім Нього
2,7952,emunat-rabo,,Faith in the Rav,אמונת רבו,Вера в Учителя,La fe en el Rav,Віра в Учителя
2,7953,ishtokekut,,Yearnings,השתוקקות,Устремление,Anhelo,Устремління
2,7954,merkaz-hakvutza,,The Center of the Group,מרכז הקבוצה,Центр группы,El centro del grupo,Центр групи
2,7956,mesirut-nefesh,,Devotion,מסירות נפש,Самопожертвование,Devoción,Самопожертва
2,7958,simcha-ba-derech,,Happiness on the path,שמחה בדרך,Радость в пути,Alegría en el camino,Радість в дорозі
2,7960,tfilat-rabim,,Prayer of Many,תפילת רבים,Молитва многих,El rezo de muchos,Молитва багатьох
2,7961,mimaasecha-hikarnucha,,By Your Actions We Know You,ממעשיך הכרנוך,Из действий Твоих познаю Тебя,Te conocemos a través de tus obras,З дій Твоїх познаю Тебе
2,7962,ibur,,Conception,עיבור,Зарождение,Gestación,Зародження
2,7963,haachana,,Preparation,הכנה,Подготовка,Hajaná,Підготовка
2,7964,mishak,,Play,משחק,Игра,Mishak,Місхак
2,7965,hafatza,,Dissemination,הפצה,Распространение,Hafatza,Поширення
2,7966,nahat-ruach,,Pleasure Creator,נחת רוח,Наслаждение Творца,Creador del placer,Насолода Творця
2,7967,sur-mera,,Depart from Evil,סור מרע,Отдаляйся от зла,Apartarse del mal,Віддаляйся від зла
2,7968,al-kol-pshaim-tehase-ahava,,Love Covers All Transgressions,על כל פשעים תכסה אהבה,Все прегрешения покроет любовь,,Усі гріхи покриє любов
2,7969,beita-ahishena,,In due time - In Haste,בעתה - אחישנה,В свое время - с ускорением,,Свого часу - з прискоренням
2,7970,mitoch-she-lo-lishma-baim-lishma,,Mi toch she lo lishma baim lishma,מתוך שלא לשמה באים לשמה,Ми тох ше ло лишма баим лишма,,
2,7971,emuna-lemala-mehadaat,,Concerning Above Reason,אמונה למעלה מהדעת,Вера выше знания,,Віра вище знання
2,7972,ani-rishon-va-ani-aharon,,Ani rishon va ani aharon,אני ראשון ואני אחרון,Ани ришон ва ани ахарон,,
2,7973,adam-olam-katan,,A-adam hu olam katan,האדם הוא עולם קטן,А-адам у олям катан,,
2,7974,israel-oraita-kbh,,"The Torah, the Creator, and Israel Are One","אורייתא וקב""ה וישראל חד הוא","Тора, Творец и Исраэль едины",,"Тора, Творець і Ісраель єдині"
2,7975,hashpaat-ha-sviva,,Hashpaat ha-sviva,השפעת הסביבה,Ашпаат а-свива,,
2,7976,gadlut-habore,,Gadlut habore,גדלות הבורא,Гадлут hа Борэ,,
2,7977,auto-ruhanit,,Spiritual vehicle,המכונית הרוחנית,Духовная машина,El vehículo espiritual,Духовна машина
2,7978,eih-meargenim-man-anahon,,How do we orgenaize the right MAN,"איך מארגנים את המ""ן הנכון",Как выстраиваем правильный МАН,¿Cómo organizamos el MAN correcto,Як вибудовуємо правильний МАН
2,7979,chinuch-le-vitur,,Education for Concession,חינוך לויתור,Воспитание уступчивости,Educación para la concesión,Виховання поступливості
2,7980,seudat-mekubalim,,Kabbalistic Meal,סעודת מקובלים,Трапеза каббалистов,Comida Cabalista,Трапеза каббалістів
2,7987,mashber-haolami,,The global crisis,המשבר העולמי,Глобальный кризис,la crisis global,Глобальна криза
2,7989,merkaz-haasiriya,,Center of the Ten,מרכז העשיריה,Центр десятки,Centro de la decena,Центр десятки
2,7990,hibur-ba-asiriya,,Connection in the Ten,חיבור בעשיריה,Объединение в десятке,Conexión en la decena,Об'єднання в десятці
2,7991,ke-ish-ahad-ba-asiriya-ahad,,As One Man in One Ten,כאיש אחד בעשיריה אחת,Как один человек в одной десятке,Como un solo hombre en una decena,Як одна людина в одній десятці
2,7992,iush-ke-manof-ba-dereh-haruhanit,,Despair as a crane (propeller) on the Spiritual Path,הייאוש כמנוף בדרך הרוחנית,Отчаяние как рычаг на духовном пути,La desesperanza como palanca en el camino spiritual,Відчай як важіль на духовному шляху
2,7993,arvut-bein-ha-asiriot,,Arvut Between the Tens,ערבות בין העשיריות,Поручительство между десятками,Arvut entre las decenas,Порука між десятками
2,7994,arvut-ba-asiria,,Arvut In The Ten,ערבות בעשיריה,Поручительство в десятке,Arvut en la decena,Порука в десятці
2,7996,achad-megale-achad,,One Reveals One,אחד מגלה אחד,Единый раскрывает Единого,Uno revela a Uno,Єдиний розкриває Єдиного
2,7997,achad-ve-le-tamid,,Forever One,אחד ולתמיד,Единый навсегда,Siempre UNO,Єдиний назавжди
2,7998,esh-kone-olamo-be-shaa-achad,,There is One Who Buys His World in One Hour,יש קונה עולמו בשעה אחת,Обретающий будуший мир в одночасье,Hay uno que compra su mundo en una hora,Набуваючий майбутній світ відразу
2,7999,daat-baalei-baitim-hafuha-midaat-tora,,The reason of the landlords is opposite to the reason of Torah,דעת בעלי בתים הפוכה מדעת תורה,Мнение обывателей противоположно мнению Торы,,Погляд обивателя є зворотнім думці Тори
2,8000,im-ein-anili-mili,,"If I Am Not for Me, Who Is for Me",אם אין אני לי מי לי,"Если не я для себя, то кто для меня","Si yo no soy para mí, ¿quién será para mí?","Якщо не я для себе, то хто для мене"
2,8001,bitul-hehrahi-bein-talmid-lerav,,The necessary annulment between the student and the Rav,הביטול ההכרחי בין התלמיד לרב,Обязательная самоотмена ученика перед Равом,La necesaria anulación entre estudiante y el Rav,Обов'язкова самовідміна учня перед Равом
2,8004,binian-shhina,,Construction of Divinity,בנין השכינה,Построение Шхины,Construcción de la Divinidad,Побудова Шхіни
2,8005,hibur-meal-nigudim,,Connection above Contradictions,חיבור מעל ניגודים,Объединение над противоречиями,Hibur meal nigudim,Об'єднання над протиріччями
2,8006,domem-dekdusha,,Domem Dekdusha,דומם דקדושה,Святое неживое,,
2,8007,domem-tzomeah,,Domem Tzomeah,דומם צומח,Неживое растительное,,Неживе рослинне
2,8014,ein-od-milvad-haverim,,There is None Else Besides the Friends,אין עוד מלבד החברים,Нет никого кроме товарищей,No hay nada más aparte de los amigos,Немає нікого окрім Товаришів
2,8015,birur-akavana,,Clarifying the Intention,בירור הכוונה,Выяснение намерения,Aclarando la intención,Правильний намір
1,12,holidays,Holidays,Holidays,חגים ומועדים,,,
2,13,holidays-tishaa-be-av,,Tishaa BeAv (Ninth of Av),ט' באב,Девятое Ава,,
2,14,holidays-sukkot,,Sukkot,סוכות,Суккот,Sukkot,
2,48,holidays-rosh-hashana,,Rosh Hashanah,ראש השנה,Рош аШана,,
2,87,holidays-yom-kipur,,Yom Kipur,יום כיפור,Йом Кипур,,
2,109,holidays-tu-bi-shvat,,Tu BiShvat,"ט""ו בשבט",Ту БиШват,,
2,110,holidays-purim,,Purim,פורים,Пурим,,
2,111,holidays-pesach,,Pesach (Passover),פסח,Песах,Pésaj,
2,112,holidays-shavuot,,Shavuot (Pentecost),שבועות,Шавуот,,
2,231,holidays-hanuka,,Hanuka,חנוכה,Ханука,,
2,4152,holidays-yom-haatzmaut,,Independence Day,יום העצמאות,День Независимости,,
2,4776,holidays-lag-ba-omer,,Lag BaOmer,"ל""ג בעומר",Лаг Баомер,,
2,6948,holidays-slihot,,Slihot,סליחות,Слихот,,
2,6959,holidays-simhat-tora,,Simhat Tora,שמחת תורה,Симхат Тора,,
2,7862,holidays-yom-hashoa,,Holocaust Remembrance Day,יום השואה,День памяти жертв Холокоста,Día del Holocausto,
2,7898,holidays-hazikaron,,Memorial Day,יום הזיכרון,День памяти,,
2,7905,holidays-sfirat-haomer,,Counting of the Omer (Sefirat HaOmer),ספירת העומר,Подсчет Омер,Cuenta del Omer (Sefirat HaOmer),
2,7908,holidays-17tamuz,,17 Tamuz,"י""ז בתמוז",17 Тамуза,,
2,7912,holidays-tu-be-av,,Tu BeAv (Day of Love),ט״ו באב,Пятнадцатое Ава - День Любви,,
1,,special-lesson,Special lesson types (for internal use),,חלקי שיעור מיוחדים,,,
2,,achana,Lesson preparation,Preparation before lesson,הכנה לשיעור,Подготовка к уроку,Preparación,
2,,shiur-nashim,Women lesson,Women lesson,שיעור נשים,,,
2,,sheelot-ve-tshuvot,Questions & Answers,Questions & Answers,שאלות ותשובות,,,
2,,sheelot-kli-olami,Questions from World Kli,Questions from World Kli,שאלות מהכלי העולמי,,,
