catalog_id,catalog_name,MDB named path
430,bs-shamati-071-be-mistarim_lessons,bs/Shamati/071 Be Mistarim
431,bs-shamati-072-bitachon-hu-levush_lessons,bs/Shamati/072 Bitachon Hu Levush
432,bs-shamati-073-leachar-tzimtzum_lessons,bs/Shamati/073 Leachar Tzimtzum
433,bs-shamati-074-olam-shana-nefesh_lessons,bs/Shamati/074 Olam Shana Nefesh
434,bs-shamati-075-bchinat-olam-haba_lessons,bs/Shamati/075 Bchinat Olam Haba
435,bs-shamati-076-al-kol-kubsancha_lessons,bs/Shamati/076 Al Kol Kubsancha
436,bs-shamati-077-nishmat-adam_lessons,bs/Shamati/077 Nishmat Adam
437,bs-shamati-078-oraita_lessons,bs/Shamati/078 Oraita
438,bs-shamati-079-atzilut-ve-bia_lessons,bs/Shamati/079 Atzilut Ve Bia
439,bs-shamati-080-achor-be-achor_lessons,bs/Shamati/080 Achor Be Achor
440,bs-shamati-081-alaat-man_lessons,bs/Shamati/081 Alaat Man
442,bs-shamati-083-vav-yaminit_lessons,bs/Shamati/083 Vav Yaminit
443,bs-shamati-084-ve-igaresh_lessons,bs/Shamati/084 Ve Igaresh
444,bs-shamati-085-pri-etz-adar_lessons,bs/Shamati/085 Pri Etz Adar
445,bs-shamati-086-ve-yaven_lessons,bs/Shamati/086 Ve Yaven
446,bs-shamati-087-shabat-shkalim_lessons,bs/Shamati/087 Shabat Shkalim
447,bs-shamati-088-kol-avoda_lessons,bs/Shamati/088 Kol Avoda
448,bs-shamati-089-bichdei-leavin_lessons,bs/Shamati/089 Bichdei Leavin
449,bs-shamati-090-zohar-bereshit_lessons,bs/Shamati/090 Zohar Bereshit
450,bs-shamati-091-bnei-tmura_lessons,bs/Shamati/091 Bnei Tmura
451,bs-shamati-092-bchinat-mazla_lessons,bs/Shamati/092 Bchinat Mazla
452,bs-shamati-093-snapir-ve-kaskese_lessons,bs/Shamati/093 Snapir Ve Kaskeset
453,bs-shamati-094-ve-shamartem_lessons,bs/Shamati/094 Ve Shamartem
454,bs-shamati-095-asarat-orla_lessons,bs/Shamati/095 Asarat Orla
455,bs-shamati-096-mahu-psolet_lessons,bs/Shamati/096 Mahu Psolet
456,bs-shamati-097-inyan-psolet_lesson,bs/Shamati/097 Inyan Psolet
457,bs-shamati-098-ruchaniut-nikra_le,bs/Shamati/098 Ruchaniut Nikra
458,bs-shamati-099-tzadik-ve-rasha_lessons,bs/Shamati/099 Tzadik Ve Rasha
459,bs-shamati-100-tora-she-bichtav_lessons,bs/Shamati/100 Tora She Bichtav
460,bs-shamati-101-la-menatzeah_lessons,bs/Shamati/101 La Menatzeah
461,bs-shamati-102-ve-lakachtem_lessons,bs/Shamati/102 Ve Lakachtem
462,bs-shamati-103-edabenu-libo_lessons,bs/Shamati/103 Edabenu Libo
463,bs-shamati-104-mechabel-havei-yetiv_lessons,bs/Shamati/104 Mechabel Havei Yetiv
464,bs-shamati-105-kodem-la-kohen_lessons,bs/Shamati/105 Kodem La Kohen
465,bs-shamati-106-mahu-remez_lessons,bs/Shamati/106 Mahu Remez
466,bs-shamati-107-bet-malachim_lessons,bs/Shamati/107 Bet Malachim
467,bs-shamati-108-im-taazveni-yom_lessons,bs/Shamati/108 Im Taazveni Yom
468,bs-shamati-109-bet-minei-basar_lessons,bs/Shamati/109 Bet Minei Basar
469,bs-shamati-110-sade-asher_lessons,bs/Shamati/110 Sade Asher
470,bs-shamati-111-evel-kol-dibur_lessons,bs/Shamati/111 Evel Kol Dibur
471,bs-shamati-112-shloshet-malachim_lessons,bs/Shamati/112 Shloshet Malachim
472,bs-shamati-113-tfilat-shmone-esre_lessons,bs/Shamati/113 Tfilat Shmone Esre
473,bs-shamati-114-tfila_lessons,bs/Shamati/114 Tfila
474,bs-shamati-115-domem-tzomeah_lessons,bs/Shamati/115 Domem Tzomeah
475,bs-shamati-116-mitzvot-ein-tzrcihot_lessons,bs/Shamati/116 Mitzvot Ein Tzrcihot
476,bs-shamati-117-yagata-ve-lo-matzata_lessons,bs/Shamati/117 Yagata Ve Lo Matzata
477,bs-shamati-118-leavin_lessons,bs/Shamati/118 Leavin
478,bs-shamati-119-hahu-talmid_lessons,bs/Shamati/119 Hahu Talmid
479,bs-shamati-120-taam-al-minhag_lessons,bs/Shamati/120 Taam Al Minhag
480,bs-shamati-121-haita-ke-oniyot_lessons,bs/Shamati/121 Haita Ke Oniyot
481,bs-shamati-122-leavin-ma-she-mevoar_lessons,bs/Shamati/122 Leavin Ma She Mevoar
482,bs-shamati-123-gitu-ve-idu_lessons,bs/Shamati/123 Gitu Ve Idu
483,bs-shamati-124-shabat-bereshit_lessons,bs/Shamati/124 Shabat Bereshit
484,bs-shamati-125-meaneg-shabat_lessons,bs/Shamati/125 Meaneg Shabat
485,bs-shamati-126-hacham-ba_lessons,bs/Shamati/126 Hacham Ba
486,bs-shamati-127-kodem-yetzirat-vlad_lessons,bs/Shamati/127 Kodem Yetzirat Vlad
487,bs-shamati-128-mehai-galgalta_lessons,bs/Shamati/128 Mehai Galgalta
488,bs-shamati-129-shchinta-be-afra_lessons,bs/Shamati/129 Shchinta Be Afra
489,bs-shamati-130-tveriya-de-razal_lessons,bs/Shamati/130 Tveriya De Razal
490,bs-shamati-131-haba-letaher_lessons,bs/Shamati/131 Haba Letaher
491,bs-shamati-132-be-ziat-apecha_lessons,bs/Shamati/132 Be Ziat Apecha
492,bs-shamati-133-orot-shabat_lessons,bs/Shamati/133 Orot Shabat
493,bs-shamati-134-yain-meshaker_lessons,bs/Shamati/134 Yain Meshaker
494,bs-shamati-135-naki-ve-tzadik_lessons,bs/Shamati/135 Naki Ve Tzadik
495,bs-shamati-136-chiluk-bein-igrot_lessons,bs/Shamati/136 Chiluk Bein Igrot
496,bs-shamati-137-tzelpachad_lessons,bs/Shamati/137 Tzelpachad
497,bs-shamati-138-ira-ve-pachad_lessons,bs/Shamati/138 Ira Ve Pachad
498,bs-shamati-139-evdel_lessons,bs/Shamati/139 Evdel
499,bs-shamati-140-ma-ahavti_lessons,bs/Shamati/140 Ma Ahavti
500,bs-shamati-141-pesach_lessons,bs/Shamati/141 Pesach
501,bs-shamati-142-ikar-milchama_lessons,bs/Shamati/142 Ikar Milchama
502,bs-shamati-143-ach-tov_lessons,bs/Shamati/143 Ach Tov
503,bs-shamati-144-yeshno-am_lessons,bs/Shamati/144 Yeshno Am
504,bs-shamati-145-yahiv-hochmata_lessons,bs/Shamati/145 Yahiv Hochmata
505,bs-shamati-146-pirush-al-zohar_lessons,bs/Shamati/146 Pirush Al Zohar
506,bs-shamati-147-inyan-avoda_lessons,bs/Shamati/147 Inyan Avoda
507,bs-shamati-148-mar-ve-matok_lessons,bs/Shamati/148 Mar Ve Matok
508,bs-shamati-149-lama-tzrichim_lessons,bs/Shamati/149 Lama Tzrichim
509,bs-shamati-150-zimru-la-shem_lessons,bs/Shamati/150 Zimru La Shem
510,bs-shamati-151-va-ire-israel_lessons,bs/Shamati/151 Va Ire Israel
511,bs-shamati-152-ki-shochad-yaaver_lessons,bs/Shamati/152 Ki Shochad Yaaver
512,bs-shamati-153-machshava-hi-tolada_lessons,bs/Shamati/153 Machshava Hi Tolada
513,bs-shamati-154-i-efshar-lihiyot_lessons,bs/Shamati/154 I Efshar Lihiyot
514,bs-shamati-155-nekiut-guf_lessons,bs/Shamati/155 Nekiut Guf
515,bs-shamati-156-pen-lakach_lessons,bs/Shamati/156 Pen Lakach
516,bs-shamati-157-ani-yeshena_lessons,bs/Shamati/157 Ani Yeshena
517,bs-shamati-158-taam-she-lo-noagim_lessons,bs/Shamati/158 Taam She Lo Noagim
518,bs-shamati-159-ve-yehi-ba-yamim_lessons,bs/Shamati/159 Ve Yehi Ba Yamim
519,bs-shamati-160-taam-atzna_lessons,bs/Shamati/160 Taam Atzna
520,bs-shamati-161-matan-tora_lessons,bs/Shamati/161 Matan Tora
521,bs-shamati-162-inyan-hazak_lessons,bs/Shamati/162 Inyan Hazak
522,bs-shamati-163-amru-baalei-zohar_lessons,bs/Shamati/163 Amru Baalei Zohar
523,bs-shamati-164-yesh-efresh_lessons,bs/Shamati/164 Yesh Efresh
524,bs-shamati-165-bakashat-elisha_lessons,bs/Shamati/165 Bakashat Elisha
525,bs-shamati-166-bet-bchinot_lessons,bs/Shamati/166 Bet Bchinot
526,bs-shamati-167-shabat-tshuva_lessons,bs/Shamati/167 Shabat Tshuva
527,bs-shamati-168-minagei-israel_lessons,bs/Shamati/168 Minagei Israel
528,bs-shamati-169-tzadik-gamur_lessons,bs/Shamati/169 Tzadik Gamur
529,bs-shamati-170-lo-eihe-be-kischa_lessons,bs/Shamati/170 Lo Eihe Be Kischa
530,bs-shamati-171-zohar-emor_lessons,bs/Shamati/171 Zohar Emor
531,bs-shamati-172-inyan-meniyot_lessons,bs/Shamati/172 Inyan Meniyot
532,bs-shamati-173-madua-omrim_lessons,bs/Shamati/173 Madua Omrim
533,bs-shamati-174-inyan-ester_lessons,bs/Shamati/174 Inyan Ester
534,bs-shamati-175-ve-haya_lessons,bs/Shamati/175 Ve Haya
535,bs-shamati-176-be-et-shtiyat_lessons,bs/Shamati/176 Be Et Shtiyat
536,bs-shamati-177-inyam-kaparot_lessons,bs/Shamati/177 Inyam Kaparot
537,bs-shamati-178-gimel-shutafin_lessons,bs/Shamati/178 Gimel Shutafin
538,bs-shamati-179-gimel-kavin_lessons,bs/Shamati/179 Gimel Kavin
539,bs-shamati-180-zohar-emor_lessons,bs/Shamati/180 Zohar Emor
540,bs-shamati-181-inyan-kavod_lessons,bs/Shamati/181 Inyan Kavod
541,bs-shamati-182-moshe-ve-shlomo_lessons,bs/Shamati/182 Moshe Ve Shlomo
542,bs-shamati-183-bchinat-mashiah_lessons,bs/Shamati/183 Bchinat Mashiah
543,bs-shamati-184-evdel-bein-emuna_lessons,bs/Shamati/184 Evdel Bein Emuna
544,bs-shamati-185-am-aaretz_lessons,bs/Shamati/185 Am Aaretz
545,bs-shamati-186-ase-shabatcha_lessons,bs/Shamati/186 Ase Shabatcha
546,bs-shamati-187-leachria-ba-yegia_lessons,bs/Shamati/187 Leachria Ba Yegia
547,bs-shamati-188-kol-avoda_lessons,bs/Shamati/188 Kol Avoda
548,bs-shamati-189-biur-al-mazla_lessons,bs/Shamati/189 Biur Al Mazla
549,bs-shamati-190-kol-peula_lesson,bs/Shamati/190 Kol Peula
550,bs-shamati-191-zman-yerida_lessons,bs/Shamati/191 Zman Yerida
551,bs-shamati-192-inyan-goralot_lessons,bs/Shamati/192 Inyan Goralot
552,bs-shamati-193-machshava-bchinat_lessons,bs/Shamati/193 Machshava Bchinat
553,bs-shamati-194-zain-shlemim_lessons,bs/Shamati/194 Zain Shlemim
554,bs-shamati-195-zachu-achishena_lessons,bs/Shamati/195 Zachu Achishena
555,bs-shamati-196-achiza-le-hitzoniim_lessons,bs/Shamati/196 Achiza Le Hitzoniim
556,bs-shamati-197-sefer-sofer-sipur_lessons,bs/Shamati/197 Sefer Sofer Sipur
557,bs-shamati-198-herut_lessons,bs/Shamati/198 Herut
558,bs-shamati-199-le-kol-ish-israel_lessons,bs/Shamati/199 Le Kol Ish Israel
559,bs-shamati-200-izdahehut-masach_lessons,bs/Shamati/200 Izdahehut Masach
560,bs-shamati-201-ruchaniut-ve-gashmiut_lessons,bs/Shamati/201 Ruchaniut Ve Gashmiut
561,bs-shamati-202-be-ziat-apecha_lessons,bs/Shamati/202 Be Ziat Apecha
562,bs-shamati-203-gaavat-adam_lessons,bs/Shamati/203 Gaavat Adam
563,bs-shamati-204-matarat-avoda_lessons,bs/Shamati/204 Matarat Avoda
564,bs-shamati-205-hochma-bachutz_lessons,bs/Shamati/205 Hochma Bachutz
565,bs-shamati-206-emuna-ve-taanug_lessons,bs/Shamati/206 Emuna Ve Taanug
566,bs-shamati-207-kabala-leashpia_lessons,bs/Shamati/207 Kabala Leashpia
3446,bs-shamati2-082-tfila-she-zrihim_lessons,bs/Shamati/082 Tfila She Zrihim
567,bs-shamati-208-inyan-yegia_lessons,bs/Shamati/208 Inyan Yegia
568,bs-shamati-209-gimel-tnaim_lessons,bs/Shamati/209 Gimel Tnaim
569,bs-shamati-210-mum-yafe_lessons,bs/Shamati/210 Mum Yafe
570,bs-shamati-211-ke-omed_lessons,bs/Shamati/211 Ke Omed
3452,bs-shamati2-127-ikar-veazmut_lessons,bs/Shamati/127 Ikar Veazmut
571,bs-shamati-212-hibuk-yamin_lessons,bs/Shamati/212 Hibuk Yamin
572,bs-shamati-213-gilui-hisaron_lessons,bs/Shamati/213 Gilui Hisaron
573,bs-shamati-214-noda-be-shaarim_lessons,bs/Shamati/214 Noda Be Shaarim
574,bs-shamati-215-inyan-emuna_lessons,bs/Shamati/215 Inyan Emuna
575,bs-shamati-216-yamin-ve-smol_lessons,bs/Shamati/216 Yamin Ve Smol
576,bs-shamati-217-im-ein-ani-li_lessons,bs/Shamati/217 Im Ein Ani Li
3455,bs-shamati2-189-hamaase-poel_lessons,bs/Shamati/189 Hamaase Poel
577,bs-shamati-218-oraita_lessons,bs/Shamati/218 Oraita
3458,bs-shamati2-193-kotel-leshneihem_lessons,bs/Shamati/193 Kotel Leshneihem
578,bs-shamati-219-mesirut-nefesh_lessons,bs/Shamati/219 Mesirut Nefesh
579,bs-shamati-220-inyan-isurim_lessons,bs/Shamati/220 Inyan Isurim
580,bs-shamati-221-reshut-kol_lessons,bs/Shamati/221 Reshut Kol
581,bs-shamati-222-helek-she-notnin_lessons,bs/Shamati/222 Helek She Notnin
3467,bs-shamati2-235-mistakel-be-sefer_lessons,bs/Shamati/235 Mistakel Be Sefer
3470,bs-shamati2-236-herpuni-zoreray_lessons,bs/Shamati/236 Herpuni Zoreray
3473,bs-shamati2-237-lo-irani-haadam_lessons,bs/Shamati/237 Lo Irani Haadam
3476,bs-shamati2-238-ish-lo-ishkaheha_lessons,bs/Shamati/238 Ish Lo Ishkaheha
